ID,Pop,Sexo,Localidade,Maturacao,Habitat,Comp_total
1_0X_PP_04_23_070,CN,-,PP,A,Costeiro,260
1_0X_PP_04_23_071,CN,-,PP,A,Costeiro,267
1_0X_PP_04_23_072,CN,F,PP,A,Costeiro,266
1_0X_PP_04_23_073,CN,F,PP,A,Costeiro,280
SINPESCA-148_1_0X_IV_F7,CN,-,SIN AL,A,Costeiro,223
BP3-20-03-19-8_1_25X_XXVI_K10,CN,-,BSA,J,Costeiro,127
CBC2-06-51_2_0X_XXVI_A15,CN,F,BSA,J,Costeiro,72
SINPESCA-1220_1_0X_VI_N19,CN,F,SIN AL,J,Costeiro,193
CBC2-09-633_2_0X_XXIII_E1,CN,F,SIN AL,J,Costeiro,83
SINPESCA-674_1_0X_V_N16,CN,F,SIN AL,J,Costeiro,188
