ID,Pop,Sexo,Localidade,Maturacao,Habitat,Comp_total
1_0X_JLGF_20_01_003,HC,F,JARAGUA,J,Costeiro,84
1_0X_JLGF_20_01_004,HC,F,JARAGUA,J,Costeiro,99
1_0X_JLGF_20_01_005,HC,F,JARAGUA,J,Costeiro,107
1_0X_JLGF_20_01_007,HC,F,JARAGUA,J,Costeiro,97
1_0X_JLGF_20_01_008,HC,F,JARAGUA,J,Costeiro,95
1_0X_JLGF_20_01_012,HC,M,JARAGUA,A,Costeiro,135
1_0X_JLGF_20_01_015,HC,-,JARAGUA,A,Costeiro,135
1_0X_JLGF_20_01_024,HC,M,JARAGUA,A,Costeiro,129
1_0X_JLGF_20_01_025,HC,M,JARAGUA,A,Costeiro,137
1_0X_JLGF_20_01_026,HC,M,JARAGUA,A,Costeiro,140
